id;player_id;matches_played;total_wins;total_loss;mm_points;assist;death;hs;kills;is_mm;created_at_dia;created_at_horario;updated_at_dia;updated_at_horario
1;354985;1;1;0;3;5;13;6;13;0;01/02/2020;00:47:32;01/02/2020;00:47:32
2;152268;1;0;1;-1;3;20;2;15;0;01/02/2020;00:54:01;01/02/2020;00:54:01
3;679247;1;0;1;-1;5;23;4;7;0;01/02/2020;01:00:31;01/02/2020;01:00:31
4;604607;1;0;1;-1;3;21;8;11;0;01/02/2020;01:03:02;01/02/2020;01:03:02
5;325203;1;1;0;3;2;13;11;21;0;01/02/2020;01:04:02;01/02/2020;01:04:02
6;95479;1;0;1;-1;6;22;4;14;0;01/02/2020;01:08:32;01/02/2020;01:08:32
7;35792;1;1;0;3;4;18;12;17;0;01/02/2020;01:09:32;01/02/2020;01:09:32
8;679130;1;0;1;-1;2;21;5;15;0;01/02/2020;01:09:32;01/02/2020;01:09:32
9;1129344;1;1;0;3;5;19;11;13;0;01/02/2020;01:11:32;01/02/2020;01:11:32
10;850067;1;0;1;-1;7;22;9;14;0;01/02/2020;01:13:31;01/02/2020;01:13:31
11;321178;1;1;0;3;8;23;9;12;0;01/02/2020;01:18:32;01/02/2020;01:18:32
12;79214;1;0;1;-1;4;18;2;7;0;01/02/2020;01:21:02;01/02/2020;01:21:02
13;862930;1;1;0;3;5;6;1;8;0;01/02/2020;01:23:32;01/02/2020;01:23:32
14;1086226;1;0;1;-1;6;21;13;17;0;01/02/2020;01:24:01;01/02/2020;01:24:01
15;641988;1;0;1;-1;2;18;6;16;0;01/02/2020;01:30:01;01/02/2020;01:30:01
16;681743;1;1;0;2;1;2;2;2;0;01/02/2020;01:31:01;01/02/2020;01:31:01
17;152301;1;1;0;3;7;23;7;17;0;01/02/2020;01:31:31;01/02/2020;01:31:31
18;734021;1;1;0;3;6;19;9;24;0;01/02/2020;01:33:01;01/02/2020;01:33:01
19;340916;1;0;1;-1;1;25;1;11;0;01/02/2020;01:38:31;01/02/2020;01:38:31
20;1189027;1;1;0;3;5;26;5;16;0;01/02/2020;01:38:31;01/02/2020;01:38:31
21;1240338;1;0;1;-1;2;20;3;4;0;01/02/2020;01:40:32;01/02/2020;01:40:32
22;322891;1;1;0;3;2;14;5;12;0;01/02/2020;01:41:32;01/02/2020;01:41:32
23;900185;1;1;0;3;7;15;6;13;0;01/02/2020;01:41:32;01/02/2020;01:41:32
